num_dossard,pname,name,genre,cat,club,nationalité,ville,pays,etat,class_gen,class_F,class_cat,arrivée,tps_course,vit_moy
1300,Daniel,JUNG,Homme,M0 H (35-39),,ITA (Italie),NATURNS,IT,Finisher,1,,1,20:02,23:02:21,6.96
2810,Ludovic,POMMERET,Homme,M2 H (45-49),,FRA (France),PREVESSIN,FR,Finisher,1,,1,20:02,23:02:21,6.96
2811,Beñat,MARMISSOLLE,Homme,M1 H (40-44),,FRA (France),TARDETS-SORHOLUS (FRANCE),FR,Finisher,3,,1,20:45,23:45:54,6.74
270,Cédric,CHAVET,Homme,M2 H (45-49),,FRA (France),CIRY LE NOBLE,FR,Finisher,4,,2,21:08,24:08:41,6.64
624,Francesco,CUCCO,Homme,M0 H (35-39),,ITA (Italie),CHAMBÉRY,FR,Finisher,5,,2,21:32,24:32:42,6.53
569,Antoine,GUILLON,Homme,M3 H (50-54),,FRA (France),VAILHAN,FR,Finisher,6,,1,22:07,25:07:09,6.38
1354,Pierre,LE TORTOREC,Homme,SE H (23-34),,FRA (France),LOCMALO,FR,Finisher,7,,1,22:41,25:41:49,6.24
1627,Judicael,SAUTRON,Homme,M0 H (35-39),,FRA (France),SAINTE MARIE,RE,Finisher,8,,3,22:56,25:56:39,6.18
275,Vincent,CHESSEX,Homme,SE H (23-34),,SUI (Suisse),CHEXBRES,CH,Finisher,9,,2,23:17,26:17:30,6.09
1719,Alexandre,BERAUD,Homme,SE H (23-34),,FRA (France),BASSENS,FR,Finisher,0,,3,23:33,26:33:16,6.03
1197,Christopher,CAMACHETTY,Homme,SE H (23-34),,FRA (France),ST PAUL,RE,Finisher,1,,4,23:43,26:43:34,6.0
12,Mike,AIGROZ,Homme,M1 H (40-44),,SUI (Suisse),CHÂTEL-ST-DENIS,CH,Finisher,2,,2,23:51,26:51:40,5.97
629,Aurélien,JACOUTOT,Homme,M0 H (35-39),,FRA (France),ENTRE-DEUX,RE,Finisher,3,,4,23:51,26:51:41,5.97
1142,Benjamin,POSTAIRE,Homme,M0 H (35-39),,FRA (France),SAINTE-SUZANNE,RE,Finisher,4,,5,Derni,27:03:21,5.92
1749,Guillaume,DERRIEN,Homme,SE H (23-34),,FRA (France),PLUNERET,FR,Finisher,5,,5,Derni,27:09:43,5.9
371,Renaud,DOBY,Homme,M0 H (35-39),,FRA (France),PAU,FR,Finisher,6,,6,Derni,27:37:47,5.8
2560,Dylan,BOWMAN,Homme,M0 H (35-39),,USA (Etats-Unis),PORTLAND,US,Finisher,7,,7,Derni,27:41:12,5.79
171,Alexandre,BOUCHEIX,Homme,SE H (23-34),,FRA (France),SAINT MANDÉ,FR,Finisher,8,,6,Derni,28:00:39,5.72
1680,Gwenael,LE BOULCH,Homme,M2 H (45-49),,FRA (France),GUIDEL,FR,Finisher,9,,3,Derni,28:09:51,5.69
529,Sébastien,GODET,Homme,M0 H (35-39),,FRA (France),LE HAILLAN,FR,Finisher,0,,8,Derni,28:42:01,5.58
2307,Didier,TELMAR,Homme,M0 H (35-39),,FRA (France),ST BENOÎT,RE,Finisher,1,,9,Derni,28:43:22,5.58
1660,Henri-Claude,NEMORIN,Homme,M1 H (40-44),,FRA (France),SAINT PAUL,RE,Finisher,2,,3,Derni,29:16:42,5.47
610,Kelig,HOUZÉ,Homme,M0 H (35-39),,FRA (France),LA TESTE-DE-BUCH,FR,Finisher,3,,0,Derni,29:22:15,5.46
1222,Arthur,JOYEUX-BOUILLON,Homme,SE H (23-34),,FRA (France),MONTVALEZAN,FR,Finisher,4,,7,Derni,29:22:24,5.46
1003,Freddy,PRIGENT,Homme,SE H (23-34),,FRA (France),GARLAN,FR,Finisher,5,,8,Derni,29:28:05,5.44
1400,Antoine,BOUCHET,Homme,M1 H (40-44),,FRA (France),BONNEVILLE,FR,Finisher,6,,4,Derni,29:46:49,5.38
1192,Emilie,MAROTEAUX,Femme,M1 F (40-44),,FRA (France),SAINT GILLES LES BAINS,RE,Finisher,7,1,1,Derni,29:54:59,5.36
108,Charley,BACRY,Homme,M0 H (35-39),,FRA (France),SAINT MANDE,FR,Finisher,8,,1,Derni,29:55:55,5.35
1099,Augustin,SEGARD,Homme,SE H (23-34),,FRA (France),PARIS,FR,Finisher,9,,9,Derni,30:02:48,5.33
2457,Christophe,CLERC,Homme,M1 H (40-44),,FRA (France),LE PONT,CH,Finisher,0,,5,Derni,30:12:34,5.3
1434,Geoffrey,VIVIEN,Homme,SE H (23-34),,FRA (France),SAINT-GILLES LES BAINS,RE,Finisher,1,,0,Derni,30:13:26,5.3
2194,Quentin,DEBARRE,Homme,M0 H (35-39),,FRA (France),CHOLET,FR,Finisher,2,,2,Derni,30:25:28,5.27
795,Gael,MAINARD,Homme,M2 H (45-49),,FRA (France),SAINT LEU,RE,Finisher,3,,4,Derni,30:31:50,5.25
1970,Eric,PAYET,Homme,M3 H (50-54),,FRA (France),SAINT JOSEPH,RE,Finisher,4,,2,Derni,30:35:15,5.24
500,Yoann,GARAULT,Homme,M0 H (35-39),,FRA (France),LANNION,FR,Finisher,5,,3,Derni,30:35:57,5.24
